x1,y1,x2,y2
122.83,416.22,102.1,406.0
195.38,328.12,166.88,258.3
172.06,265.93,187.61,317.9
913.13,646.83,902.76,618.47
957.18,677.92,954.58,678.07
967.54,745.29,972.72,748.03
368.99,947.4,368.99,929.41
806.89,799.7,778.39,789.49
907.94,403.26,897.58,393.04
809.48,385.12,804.3,367.13
897.58,341.07,894.99,330.85
951.99,346.26,941.63,343.81
990.86,387.71,977.9,374.9
221.29,17.18,205.75,19.92
304.21,188.2,293.84,167.61
324.94,22.36,317.16,9.55
444.13,631.28,436.36,628.84
687.7,421.4,687.7,406.0
384.53,491.36,379.35,488.91
799.12,58.64,793.93,45.83
138.38,843.75,120.24,838.72
