x1,y1,x2,y2
947.43,786.73,940.43,776.22
885.17,616.1,878.13,605.33
965.22,939.8,957.92,927.76
989.6,838.83,981.4,827.96
927.8,956.23,920.31,943.93
941.61,731.86,933.73,722.01
990.6,551.68,983.89,542.26
205.27,34.76,195.72,26.7
219.71,494.88,210.17,486.64
81.89,393.65,71.68,385.61
102.38,90.09,92.67,81.96
186.76,332.22,177.49,323.92
296.22,183.41,287.41,174.85
270.19,397.32,260.7,389.19
579.36,203.7,571.54,194.44
777.62,377.87,770.22,368.13
851.33,181.29,845.58,171.01
820.85,316.56,813.61,306.74
674.54,493.64,666.23,483.64
650.64,313.74,642.65,303.7
1011.01,384.37,1005.62,374.61
202.94,804.23,193.27,794.68
51.13,615.97,41.3,607.52
228.39,530.71,219.09,522.11
228.39,530.71,219.09,522.11
393.67,546.91,384.33,537.9
282.6,693.79,273.32,684.82
162.3,612.5,152.06,603.77
