config_id,preproc,detector,matcher,outlier,refinement,rmse_px,inliers,inlier_ratio,n_matches,time_s,georef_s,notes
C1,georef+normalize (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,22.6614,56,0.918,61,0.88,0.0,
C2,georef+histmatch (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,22.6605,223,0.6862,325,2.02,0.0,
C3,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,22.6316,236,0.8252,286,0.9,0.0,
C4,georef+gamma_shadow:0.5 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,8353.4457,6,0.15,40,1.06,0.0,
C5,georef+clahe:4.0 (crop 1024x1024),akaze,bf_ratio:0.75,ransac:5.0,,22.8034,793,0.8084,981,2.45,0.0,
C6,georef+clahe:4.0 (crop 1024x1024),rift2,rift2:0.95,ransac:5.0,,500.4704,193,0.2144,900,32.69,0.0,
C7,georef+clahe:4.0 (crop 1024x1024),superpoint,superglue:0.2,ransac:5.0,,22.6703,137,0.5983,229,10.43,0.0,
C8,georef+clahe:4.0 (crop 1024x1024),superpoint,loftr:0.2,ransac:5.0,,22.6557,4583,0.673,6810,38.97,0.0,
C9,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,22.6386,114,0.8085,141,4.11,0.0,
C10,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,22.6172,235,0.8217,286,6.73,0.11,
C11,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,cornerSubPix,22.65,235,0.8217,286,1.53,0.0,
C12,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,phase_corr,22.6379,235,0.8217,286,8.95,0.0,
C9,polar test sun_el=1.9deg (OHRC-2026+NAC M1127547939RC),sift,bf_ratio:0.75,usac_magsac:5.0,,FAIL,0,0,0,37.9,37.9,georeference: no reliable OHRC<->NAC overlap (inliers=14). Boosted fallback rejected (mirror-group dominance/NCC); see data/processed/georef_phase5_diagnostics.json
FINAL,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,22.6172,235,0.8217,286,1.63,0.0
C13,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,26.977,245,0.8249,297,156.34,152.95
C14,georef+edges (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,742.1478,10,0.5882,17,3.26,0.0
FINAL,georef+clahe:4.0 (crop 1024x1024),sift,bf_ratio:0.75,ransac:5.0,,22.6172,235,0.8217,286,7.33,0.03
